track,trackid,track_uri,album_name,album_id,artist,duration,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
Tanz Debil,43qpZ3zl2OuPUkZf4g7Fz6,2EtKTuE9ip77aJTHu8D8ox,80-83 Strategies Against Architecture,43qpZ3zl2OuPUkZf4g7Fz6,Einstürzende Neubauten,200626,FALSE,8,0.289,0.689,6,-12.895,0,0.043,0.0305,0.545,0.543,0.0932,152.043,audio_features,spotify:track:2EtKTuE9ip77aJTHu8D8ox,https://api.spotify.com/v1/tracks/2EtKTuE9ip77aJTHu8D8ox,https://api.spotify.com/v1/audio-analysis/2EtKTuE9ip77aJTHu8D8ox,200627,1
Not In Love,6pdouflAejfqrKPx1XHevh,3CsMdAuNoD7e8kRzHV24TR,Not In Love feat. Robert Smith,6pdouflAejfqrKPx1XHevh,Crystal Castles,226076,FALSE,2,0.482,0.978,7,-4.132,0,0.0928,0.00114,6.76e-4,0.349,0.249,135.906,audio_features,spotify:track:3CsMdAuNoD7e8kRzHV24TR,https://api.spotify.com/v1/tracks/3CsMdAuNoD7e8kRzHV24TR,https://api.spotify.com/v1/audio-analysis/3CsMdAuNoD7e8kRzHV24TR,226077,4
One Chord Wonders,5Wmr7UWbQr7XuBb1wbKbXg,3r8gxXeKmFNlT7qG5Qr8GM,Crossing the Red Sea With the Adverts (2011),5Wmr7UWbQr7XuBb1wbKbXg,The Adverts,168986,FALSE,4,0.126,0.961,2,-6.278,1,0.0884,0.00173,0.0498,0.0751,0.231,171.82,audio_features,spotify:track:3r8gxXeKmFNlT7qG5Qr8GM,https://api.spotify.com/v1/tracks/3r8gxXeKmFNlT7qG5Qr8GM,https://api.spotify.com/v1/audio-analysis/3r8gxXeKmFNlT7qG5Qr8GM,168987,4
Red Flags And Long Nights,0ikcvM61CScaAOSKHOralR,5e0vfjC19908HLerbfbEkv,She Wants Revenge,0ikcvM61CScaAOSKHOralR,She Wants Revenge,308986,TRUE,46,0.627,0.543,0,-8.249,0,0.0319,0.00208,0.462,0.135,0.434,143.232,audio_features,spotify:track:5e0vfjC19908HLerbfbEkv,https://api.spotify.com/v1/tracks/5e0vfjC19908HLerbfbEkv,https://api.spotify.com/v1/audio-analysis/5e0vfjC19908HLerbfbEkv,308987,4
The Garden,72ort5HAIMJO3g6Imw9weP,647dyTPlLttzYwHKngS3S2,Disphoria 1985-1989,72ort5HAIMJO3g6Imw9weP,LASS Crime,177019,FALSE,0,0.594,0.566,10,-11.274,0,0.0293,0.187,0.819,0.245,0.43,148.418,audio_features,spotify:track:647dyTPlLttzYwHKngS3S2,https://api.spotify.com/v1/tracks/647dyTPlLttzYwHKngS3S2,https://api.spotify.com/v1/audio-analysis/647dyTPlLttzYwHKngS3S2,177020,4
The Goodbye Party,5v0qamVgAnIveYL2igBAAg,7iOFUxiC9QIFfm7ryvvhvk,The Never Ending Celebration (Extended Version),5v0qamVgAnIveYL2igBAAg,Buvette,279520,FALSE,5,0.481,0.388,7,-9.556,0,0.0545,0.724,0.0305,0.141,0.0818,119.846,audio_features,spotify:track:7iOFUxiC9QIFfm7ryvvhvk,https://api.spotify.com/v1/tracks/7iOFUxiC9QIFfm7ryvvhvk,https://api.spotify.com/v1/audio-analysis/7iOFUxiC9QIFfm7ryvvhvk,279520,4
Eine Minute schweben,040uuPeMMSBysWWUZTx3AM,1SiOdhCUNHzBnTN6wMidW6,Fun,040uuPeMMSBysWWUZTx3AM,Die Nerven,171600,FALSE,0,0.265,0.802,9,-6.107,0,0.0675,0.0046,0.803,0.156,0.334,167.128,audio_features,spotify:track:1SiOdhCUNHzBnTN6wMidW6,https://api.spotify.com/v1/tracks/1SiOdhCUNHzBnTN6wMidW6,https://api.spotify.com/v1/audio-analysis/1SiOdhCUNHzBnTN6wMidW6,171600,4
Unit 2000,1QkG6KmMp8dNakupKJNvUC,1VvZ7W0HoGJmzjYqG9qGgb,Trevor Jackson Presents Metal Dance 2,1QkG6KmMp8dNakupKJNvUC,Logic System,289641,FALSE,0,0.66,0.58,7,-8.831,1,0.0344,0.149,0.253,0.117,0.123,96.742,audio_features,spotify:track:1VvZ7W0HoGJmzjYqG9qGgb,https://api.spotify.com/v1/tracks/1VvZ7W0HoGJmzjYqG9qGgb,https://api.spotify.com/v1/audio-analysis/1VvZ7W0HoGJmzjYqG9qGgb,289641,4
End of the Corridor,2Aw5ZJLhge8ghpjjCjfwCX,1Y7ESVYqVw7fa2GRNa10yJ,Eight Ways to Start a Day,2Aw5ZJLhge8ghpjjCjfwCX,The Cultural Decay,250386,FALSE,0,0.565,0.944,5,-5.229,1,0.0386,0.138,1.02e-4,0.062,0.767,147.087,audio_features,spotify:track:1Y7ESVYqVw7fa2GRNa10yJ,https://api.spotify.com/v1/tracks/1Y7ESVYqVw7fa2GRNa10yJ,https://api.spotify.com/v1/audio-analysis/1Y7ESVYqVw7fa2GRNa10yJ,250387,4
Fairweather Friends,6F5Sm0bCZfD7xqz3mCGlVX,5Uc8fMaG5HgO16Isc4YXGN,Cities Of Steel And Neon,6F5Sm0bCZfD7xqz3mCGlVX,In Trance 95,254625,FALSE,7,0.511,0.398,9,-10.333,1,0.034,2.33e-5,0.863,0.302,0.381,139.609,audio_features,spotify:track:5Uc8fMaG5HgO16Isc4YXGN,https://api.spotify.com/v1/tracks/5Uc8fMaG5HgO16Isc4YXGN,https://api.spotify.com/v1/audio-analysis/5Uc8fMaG5HgO16Isc4YXGN,254625,4
