Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-05-05T18:19:49Z,FALSE,Bruz - Tired Run,5.55,447,00:30:12,149,161,3.1,159,166,5:26,4:18,26,23,1.16,0,0,0,0.0,0,--,--,--,00:00:00,26,00:00:00,No,02:00:00,7,0
Running,2020-05-03T11:25:20Z,FALSE,Bruz - Run,10.40,870,00:56:21,156,169,4.0,161,171,5:25,4:52,49,45,1.15,0,0,0,0.0,0,--,--,--,00:00:00,23,00:00:00,No,02:00:00,12,0
Running,2020-05-01T17:39:01Z,FALSE,Bruz - Easy Run,5.55,469,00:29:26,160,172,3.4,161,169,5:18,4:41,32,34,1.17,0,0,0,0.0,0,--,--,--,00:00:00,21,00:00:00,No,02:00:00,7,0
Running,2020-04-30T17:24:20Z,FALSE,Bruz - Easy Run,5.35,439,00:30:20,149,160,3.1,153,167,5:40,4:52,25,17,1.16,0,0,0,0.0,0,--,--,--,00:00:00,21,00:00:00,No,00:08:00,8,0
Running,2020-04-29T15:36:12Z,FALSE,Bruz - Easy Run,3.99,319,00:21:32,149,160,2.9,160,167,5:24,4:43,23,20,1.16,0,0,0,0.0,0,--,--,--,00:00:00,19,00:00:00,No,01:22:00,6,0
Running,2020-04-28T16:37:27Z,FALSE,Bruz - Tired Run,6.97,572,00:39:45,148,161,3.3,157,167,5:42,5:02,39,43,1.11,0,0,0,0.0,0,--,--,--,00:00:00,20,00:00:00,No,02:00:00,9,0
Running,2020-04-26T11:28:00Z,FALSE,Bruz - Run,13.38,1144,01:15:25,157,172,4.3,158,167,5:38,4:49,74,74,1.12,0,0,0,0.0,0,--,--,--,00:00:00,23,00:00:00,No,02:00:00,15,0
Running,2020-04-24T17:18:04Z,FALSE,Bruz - Easy Run,6.92,571,00:39:22,149,162,3.3,154,166,5:42,4:56,35,32,1.14,0,0,0,0.0,0,--,--,--,00:00:00,21,00:00:00,No,00:00:00,10,0
Running,2020-04-23T17:07:22Z,FALSE,Bruz - Easy Run,7.53,620,00:42:27,148,162,3.3,158,166,5:38,4:47,38,39,1.12,0,0,0,0.0,0,--,--,--,00:00:00,26,00:00:00,No,02:00:00,10,0
Running,2020-04-22T17:10:42Z,FALSE,Bruz - Easy Run,5.53,462,00:31:12,149,163,3.1,159,168,5:39,4:56,31,27,1.11,0,0,0,0.0,0,--,--,--,00:00:00,26,00:00:00,No,02:00:00,7,0
Running,2020-04-21T17:19:36Z,FALSE,Bruz - Tired Run,6.57,534,00:36:07,150,161,3.2,159,168,5:30,4:35,25,24,1.14,0,0,0,0.0,0,--,--,--,00:00:00,24,00:00:00,No,00:15:00,9,0
Running,2020-04-19T11:09:40Z,FALSE,Bruz Running,5.39,466,00:30:18,156,168,3.3,161,169,5:37,5:06,23,31,1.11,0,0,0,0.0,0,--,--,--,00:00:00,22,00:00:00,No,02:16:00,6,0
Running,2020-04-19T10:59:37Z,FALSE,Bruz - Benchmark Run,1.85,143,00:09:06,160,175,2.4,160,171,4:56,4:18,15,--,1.28,0,0,0,0.0,0,--,--,--,00:00:00,22,00:00:00,No,00:06:00,5,0
Running,2020-04-18T11:36:38Z,FALSE,Bruz Running,10.07,854,00:57:35,152,162,3.6,159,167,5:43,5:05,54,82,1.1,0,0,0,0.0,0,--,--,--,00:00:00,23,00:00:00,No,00:23:00,11,0
Running,2020-04-15T17:15:08Z,FALSE,Bruz Running,8.04,660,00:44:44,149,162,3.4,159,166,5:34,5:03,38,36,1.13,0,0,0,0.0,0,--,--,--,00:00:00,24,00:00:00,No,00:17:00,9,0
Running,2020-04-13T17:06:44Z,FALSE,Bruz Running,8.07,630,00:44:44,146,154,3.1,159,166,5:33,4:59,40,40,1.14,0,0,0,0.0,0,--,--,--,00:00:00,22,00:00:00,No,00:22:00,9,0
Running,2020-04-12T10:39:47Z,FALSE,Bruz Running,8.03,688,00:45:13,154,164,3.6,160,167,5:38,5:05,35,30,1.11,0,0,0,0.0,0,--,--,--,00:00:00,22,00:00:00,No,00:12:00,9,0
Running,2020-04-11T17:17:50Z,FALSE,Bruz Running,9.04,756,00:50:01,154,162,3.7,159,166,5:32,4:44,45,41,1.14,0,0,0,0.0,0,--,--,--,00:00:00,26,00:00:00,No,00:21:00,10,0
